teacher,title,duration,votes,rating,difficulty,subscriber_only,url
Rachel Scott,Fundamentals of Practice Day 7,37m51s,7,5.0,intermediate,False,https://doyogawithme.com/content/fundamentals-day-7
Rachel Scott,Fundamentals of Practice Day 6,20m48s,3,5.0,beginner,False,https://doyogawithme.com/content/fundamentals-day-6
Rachel Scott,Fundamentals of Practice Day 5,22m23s,4,5.0,beginner,False,https://doyogawithme.com/content/fundamentals-day-5
Rachel Scott,Fundamentals of Practice Day 4,26m57s,6,4.7,beginner,False,https://doyogawithme.com/content/fundamentals-day-4
Rachel Scott,Fundamentals of Practice Day 3,29m39s,4,5.0,beginner,False,https://doyogawithme.com/content/fundamentals-day-3
Rachel Scott,Fundamentals of Practice Day 2,31m35s,13,5.0,beginner,False,https://doyogawithme.com/content/fundamentals-day-2
Rachel Scott,Fundamentals of Practice Day 1,37m19s,16,4.9,beginner,False,https://doyogawithme.com/content/fundamentals-day-1
Melissa Krieger,Cool and Calm Yoga,31m25s,17,4.9,beginner,False,https://doyogawithme.com/content/cool-calm-yoga
Melissa Krieger,Happy Wrists Yoga Class,44m08s,13,4.8,beginner,False,https://doyogawithme.com/content/happy-wrists-class
Kathi Ells,Pilates: Creative Challenge,21m46s,5,4.4,intermediate,True,https://doyogawithme.com/content/pilates-creative-challenge
Kathi Ells,Pilates: Focus on Balance,26m17s,9,4.3,intermediate,True,https://doyogawithme.com/content/pilates-focus-balance
Kathi Ells,Advanced Pilates Flow,25m45s,7,4.1,advanced,True,https://doyogawithme.com/content/advanced-pilates-flow
Guy Friswell,Slow Flow: Focus on Shoulders,46m00s,10,5.0,beginner,True,https://doyogawithme.com/content/slow-flow-shoulders
Fiji McAlpine,Release Resistance Meditation,12m06s,17,4.9,beginner,True,https://doyogawithme.com/content/release-resistance-meditation
Ron Stewart,"Open Hips, Neutral Spine",43m08s,13,4.3,beginner,True,https://doyogawithme.com/content/open-hips-spine
Rachel Scott,Prana 4: Nadi Shodhana Pranayama,5m49s,4,4.8,beginner,False,https://doyogawithme.com/content/prana-4
Rachel Scott,Prana 3: Counted Breath and Full Retention,5m04s,5,3.8,beginner,False,https://doyogawithme.com/content/prana-3
Rachel Scott,Prana 2: Counted Breath and Partial Retention,4m18s,4,4.5,beginner,False,https://doyogawithme.com/content/prana-2
Rachel Scott,Prana 1: Simple Counted Breath,4m50s,4,4.8,beginner,False,https://doyogawithme.com/content/prana-1
Crista Shillington,The Elements Day 3,02m30s,2,5.0,advanced,True,https://doyogawithme.com/content/elements-day-3
Guy Friswell,Slow Flow: Focus on Knees,31m32s,7,4.9,beginner,True,https://doyogawithme.com/content/slow-flow-knees
Rachel Scott,The Desk Antidote: A Quick Standing Routine for Workers,6m15s,6,4.8,beginner,True,https://doyogawithme.com/content/desk-antidote
Rachel Scott,Breathe Better: The Side Body Class,35m13s,26,4.9,beginner,False,https://doyogawithme.com/content/breathe-better
Helen Camisa,Plus Size Yoga: Modified Sun Salutations,28m14s,7,4.1,beginner,True,https://doyogawithme.com/content/modified-sun-salutations
Jonni-Lyn Friel,Eye of the Lotus Meditation,10m12s,5,4.4,beginner,True,https://doyogawithme.com/content/eye-lotus-meditation
Ron Stewart,Internal Meditation,15m29s,5,4.8,beginner,False,https://doyogawithme.com/content/internal-meditation
Crista Shillington,The Elements Day 7,16m12s,36,4.8,intermediate,True,https://doyogawithme.com/content/elements-day-7
Helen Camisa,Plus Size Yoga: Heart Opening Practice,66m28s,3,5.0,beginner,True,https://doyogawithme.com/content/heart-opening-practice
Rachel Scott,Yin/Yang Flow,26m59s,26,4.8,beginner,False,https://doyogawithme.com/content/yinyang-flow
Rachel Scott,Preparation for Forearm Balance,35m38s,7,5.0,beginner,True,https://doyogawithme.com/content/preparation-forearm-balance
Jonni-Lyn Friel,Jivamukti: Fast and Fierce,21m21s,25,4.9,intermediate,False,https://doyogawithme.com/content/jivamukti-fast-and-fierce
Jonni-Lyn Friel,Jivamukti-Inspired Jam,38m51s,24,4.5,intermediate,True,https://doyogawithme.com/content/jivamukti-inspired-jam
Nyk Danu,Head to Toe Yin Yoga,67m30s,19,4.5,beginner,False,https://doyogawithme.com/content/head-toe-yin
Guy Friswell,Slow Flow: Focus on Transitions,13m12s,11,4.7,beginner,False,https://doyogawithme.com/content/slow-focus-transitions
Ron Stewart,Yoga for Cultivating Pleasure,59m48s,34,4.8,intermediate,False,https://doyogawithme.com/content/yoga-cultivating-pleasure
Fiji McAlpine,Elevate Day 14,48m20s,23,4.7,intermediate,True,https://doyogawithme.com/content/elevate-day-14
Fiji McAlpine,Elevate Day 13,43m06s,29,5.0,intermediate,True,https://doyogawithme.com/content/elevate-day-13
Fiji McAlpine,Elevate Day 12,29m17s,30,5.0,intermediate,True,https://doyogawithme.com/content/elevate-day-12
Fiji McAlpine,Elevate Day 11,39m23s,22,4.8,intermediate,True,https://doyogawithme.com/content/elevate-day-11
Fiji McAlpine,Elevate Day 10,28m54s,22,5.0,intermediate,True,https://doyogawithme.com/content/elevate-day-10
Fiji McAlpine,Elevate Day 9,42m21s,18,4.8,intermediate,True,https://doyogawithme.com/content/elevate-day-9
Fiji McAlpine,Elevate Day 8,35m19s,23,5.0,intermediate,True,https://doyogawithme.com/content/elevate-day-8
Fiji McAlpine,Elevate Day 7,30m58s,19,4.9,intermediate,True,https://doyogawithme.com/content/elevate-day-7
